2024-12-17 19:12:22 INFO  LoginPage :40 - enter user name :Admin
2024-12-17 19:12:195 INFO  LoginPage :46 - enter passwordadmin123
2024-12-17 19:12:282 INFO  LoginPage :51 - click on [[ChromeDriver: chrome on windows (f5f37d254425f6c0eecd65b321d2a7a0)] -> xpath: //button[@type='submit']]
2024-12-17 19:12:846 INFO  AddUserPage :76 - Get page title of : [[ChromeDriver: chrome on windows (f5f37d254425f6c0eecd65b321d2a7a0)] -> xpath: //h5]
2024-12-17 19:12:147 INFO  AddUserPage :102 - Enter user name : prime test
2024-12-17 19:12:391 INFO  AddUserPage :108 - select user roll from drop down as Admin
2024-12-17 19:12:600 INFO  AddUserPage :115 - select user status from drop down as Disable
2024-12-17 19:12:797 INFO  AddUserPage :120 - Click on search button [[ChromeDriver: chrome on windows (f5f37d254425f6c0eecd65b321d2a7a0)] -> xpath: //button[normalize-space()='Search']]
2024-12-17 19:12:917 INFO  AddUserPage :124 - get user name from search result Proxy element for: DefaultElementLocator 'By.xpath: //div[@role='columnheader'or normalize-space()='Username'][2]/ancestor::div[@role='rowgroup']/following-sibling::div[@class='oxd-table-body']//div[@class='oxd-table-cell oxd-padding-cell'][2]'
2024-12-17 19:12:27 INFO  LoginPage :40 - enter user name :Admin
2024-12-17 19:12:242 INFO  LoginPage :46 - enter passwordadmin123
2024-12-17 19:12:388 INFO  LoginPage :51 - click on [[ChromeDriver: chrome on windows (f1040ea1db79351edef002bd24a970b9)] -> xpath: //button[@type='submit']]
2024-12-17 19:12:966 INFO  AddUserPage :76 - Get page title of : [[ChromeDriver: chrome on windows (f1040ea1db79351edef002bd24a970b9)] -> xpath: //h5]
2024-12-17 19:12:713 INFO  AddUserPage :97 - click on add button[[ChromeDriver: chrome on windows (f1040ea1db79351edef002bd24a970b9)] -> xpath: //button[normalize-space()='Add']]
2024-12-17 19:12:995 INFO  AddUserPage :55 - Get Add User text [[ChromeDriver: chrome on windows (f1040ea1db79351edef002bd24a970b9)] -> xpath: //div[@class='orangehrm-card-container']/h6]
2024-12-17 19:12:304 INFO  AddUserPage :62 - Select User roles [[ChromeDriver: chrome on windows (f1040ea1db79351edef002bd24a970b9)] -> xpath: //label[normalize-space()='User Role']/parent::div/following-sibling::div//div[@class='oxd-select-wrapper']] as Admin
2024-12-17 19:12:686 INFO  AddUserPage :68 - Enter the Employee Name [[ChromeDriver: chrome on windows (f1040ea1db79351edef002bd24a970b9)] -> xpath: //label[normalize-space()='Employee Name']/parent::div/following-sibling::div//input] as a
2024-12-17 19:12:956 INFO  AddUserPage :73 - Enter the Username [[ChromeDriver: chrome on windows (f1040ea1db79351edef002bd24a970b9)] -> xpath: //label[normalize-space()='Username']/parent::div/following-sibling::div//input] as prime test
2024-12-17 19:12:164 INFO  AddUserPage :79 - Select Status [[ChromeDriver: chrome on windows (f1040ea1db79351edef002bd24a970b9)] -> xpath: //label[normalize-space()='Status']/parent::div/following-sibling::div//div[@class='oxd-select-wrapper']] as Disable
2024-12-17 19:12:381 INFO  AddUserPage :84 - Enter password [[ChromeDriver: chrome on windows (f1040ea1db79351edef002bd24a970b9)] -> xpath: //div[@class='oxd-grid-item oxd-grid-item--gutters user-password-cell']//div[@class='oxd-input-group oxd-input-field-bottom-space']//div//input[@type='password']]
2024-12-17 19:12:639 INFO  AddUserPage :89 - Enter password confirmation [[ChromeDriver: chrome on windows (f1040ea1db79351edef002bd24a970b9)] -> xpath: //div[@class='oxd-grid-item oxd-grid-item--gutters']//div[@class='oxd-input-group oxd-input-field-bottom-space']//div//input[@type='password']]
2024-12-17 19:12:851 INFO  AddUserPage :93 - Click on Save button[[ChromeDriver: chrome on windows (f1040ea1db79351edef002bd24a970b9)] -> xpath: //button[normalize-space()='Save']]
2024-12-17 19:12:409 INFO  AddUserPage :97 - get success message [[ChromeDriver: chrome on windows (f1040ea1db79351edef002bd24a970b9)] -> xpath: //p[@class='oxd-text oxd-text--p oxd-text--toast-message oxd-toast-content-text']]
2024-12-17 19:12:99 INFO  LoginPage :40 - enter user name :Admin
2024-12-17 19:12:334 INFO  LoginPage :46 - enter passwordadmin123
2024-12-17 19:12:582 INFO  LoginPage :51 - click on [[ChromeDriver: chrome on windows (302438d1a5d9c82a8399ba8674e7a924)] -> xpath: //button[@type='submit']]
2024-12-17 19:12:155 INFO  AddUserPage :76 - Get page title of : [[ChromeDriver: chrome on windows (302438d1a5d9c82a8399ba8674e7a924)] -> xpath: //h5]
2024-12-17 19:12:581 INFO  AddUserPage :102 - Enter user name : prime test
2024-12-17 19:12:850 INFO  AddUserPage :108 - select user roll from drop down as Admin
2024-12-17 19:12:50 INFO  AddUserPage :115 - select user status from drop down as Disable
2024-12-17 19:12:229 INFO  AddUserPage :120 - Click on search button [[ChromeDriver: chrome on windows (302438d1a5d9c82a8399ba8674e7a924)] -> xpath: //button[normalize-space()='Search']]
2024-12-17 19:12:453 INFO  AddUserPage :124 - get user name from search result [[ChromeDriver: chrome on windows (302438d1a5d9c82a8399ba8674e7a924)] -> xpath: //div[@role='columnheader'or normalize-space()='Username'][2]/ancestor::div[@role='rowgroup']/following-sibling::div[@class='oxd-table-body']//div[@class='oxd-table-cell oxd-padding-cell'][2]]
2024-12-17 19:12:161 INFO  LoginPage :40 - enter user name :Admin
2024-12-17 19:12:363 INFO  LoginPage :46 - enter passwordadmin123
2024-12-17 19:12:534 INFO  LoginPage :51 - click on [[ChromeDriver: chrome on windows (67c0639041279fce73235d7771f5e590)] -> xpath: //button[@type='submit']]
2024-12-17 19:12:69 INFO  AddUserPage :76 - Get page title of : [[ChromeDriver: chrome on windows (67c0639041279fce73235d7771f5e590)] -> xpath: //h5]
2024-12-17 19:12:441 INFO  AddUserPage :102 - Enter user name : prime test
2024-12-17 19:12:681 INFO  AddUserPage :108 - select user roll from drop down as Admin
2024-12-17 19:12:885 INFO  AddUserPage :115 - select user status from drop down as Disable
2024-12-17 19:12:62 INFO  AddUserPage :120 - Click on search button [[ChromeDriver: chrome on windows (67c0639041279fce73235d7771f5e590)] -> xpath: //button[normalize-space()='Search']]
2024-12-17 19:12:331 INFO  AddUserPage :124 - get user name from search result [[ChromeDriver: chrome on windows (67c0639041279fce73235d7771f5e590)] -> xpath: //div[@role='columnheader'or normalize-space()='Username'][2]/ancestor::div[@role='rowgroup']/following-sibling::div[@class='oxd-table-body']//div[@class='oxd-table-cell oxd-padding-cell'][2]]
2024-12-17 19:12:523 INFO  AddUserPage :130 - Click on search result item check box [[ChromeDriver: chrome on windows (67c0639041279fce73235d7771f5e590)] -> xpath: //div[@class='oxd-table-card-cell-checkbox']//i[@class='oxd-icon bi-check oxd-checkbox-input-icon']]
2024-12-17 19:12:735 INFO  AddUserPage :135 - Click on search result item delete button [[ChromeDriver: chrome on windows (67c0639041279fce73235d7771f5e590)] -> xpath: //button[normalize-space()='Delete Selected']]
2024-12-17 19:12:964 INFO  AddUserPage :140 - Click on delete popup yes button [[ChromeDriver: chrome on windows (67c0639041279fce73235d7771f5e590)] -> xpath: //button[normalize-space()='Yes, Delete']]
2024-12-17 19:12:205 INFO  ViewSystemUserPage :18 - get success message : [[ChromeDriver: chrome on windows (67c0639041279fce73235d7771f5e590)] -> xpath: //p[@class='oxd-text oxd-text--p oxd-text--toast-message oxd-toast-content-text']]
2024-12-17 19:12:866 INFO  LoginPage :40 - enter user name :Admin
2024-12-17 19:12:74 INFO  LoginPage :46 - enter passwordadmin123
2024-12-17 19:12:275 INFO  LoginPage :51 - click on [[ChromeDriver: chrome on windows (c2f1944b0ee0ac9e383db23de4927e58)] -> xpath: //button[@type='submit']]
2024-12-17 19:12:882 INFO  AddUserPage :76 - Get page title of : [[ChromeDriver: chrome on windows (c2f1944b0ee0ac9e383db23de4927e58)] -> xpath: //h5]
2024-12-17 19:12:414 INFO  AddUserPage :102 - Enter user name : Admin
2024-12-17 19:12:685 INFO  AddUserPage :108 - select user roll from drop down as Admin
2024-12-17 19:12:907 INFO  AddUserPage :115 - select user status from drop down as Enable
2024-12-17 19:12:100 INFO  AddUserPage :120 - Click on search button [[ChromeDriver: chrome on windows (c2f1944b0ee0ac9e383db23de4927e58)] -> xpath: //button[normalize-space()='Search']]
2024-12-17 19:12:317 INFO  AddUserPage :151 - Get the records found. [[ChromeDriver: chrome on windows (c2f1944b0ee0ac9e383db23de4927e58)] -> xpath: //span[@class = 'oxd-text oxd-text--span']]
2024-12-17 19:12:391 INFO  AddUserPage :124 - get user name from search result [[ChromeDriver: chrome on windows (c2f1944b0ee0ac9e383db23de4927e58)] -> xpath: //div[@role='columnheader'or normalize-space()='Username'][2]/ancestor::div[@role='rowgroup']/following-sibling::div[@class='oxd-table-body']//div[@class='oxd-table-cell oxd-padding-cell'][2]]
2024-12-17 19:12:648 INFO  AddUserPage :157 - Clicking on Reset button [[ChromeDriver: chrome on windows (c2f1944b0ee0ac9e383db23de4927e58)] -> xpath: //button[normalize-space()='Reset']]
2024-12-17 19:12:244 INFO  LoginPage :40 - enter user name :Admin
2024-12-17 19:12:451 INFO  LoginPage :46 - enter passwordadmin123
2024-12-17 19:12:641 INFO  LoginPage :51 - click on [[ChromeDriver: chrome on windows (30089ab8cd2b8dab2c0df464976c3119)] -> xpath: //button[@type='submit']]
2024-12-17 19:12:253 INFO  AddUserPage :76 - Get page title of : [[ChromeDriver: chrome on windows (30089ab8cd2b8dab2c0df464976c3119)] -> xpath: //h5]
